Element	Ingredients	Price	Vegetarian	Vegan	DAIRY FREE	GLUTEN FREE	SOY FREE	SESAME FREE	GARLIC FREE	ONION FREE	CAPSICUM FREE	CHILI FREE	PISTACHIO FREE	WALNUT FREE	ALMOND FREE	PEANUT FREE	TREE NUT FREE	EGG FREE	FISH FREE	SHELLFISH FREE	MUSTARD FREE	SULFITE FREE	CELERY FREE	LUPIN FREE	MOLLUSC FREE	HALAL	NIGHTSHADE FREE
Typhoon Shelter Wok Prawns	Prawn Cutlets, Cornflour, Chinese Garlic, Red Chilli, Spring Onion, Black Soybean, Water, Salt, Soy Sauce (Soy bean, Wheat, Water, Salt, Colour (E150c)), Caster Sugar, Water, Glutinous Rice, Distilled Alcohol, Dextrose, Rice Koji, Aspergillus Oryzae, White Garlic, Vegetable Oil, Salt, Dried Chillies, Iodised Salt, Lemon, Canola Oil		NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	NO	NO
Vege Fried Rice	Jasmine Rice, Soybeans, Salt, Sugar, Corn Starch, Alcohol, Edamame Beans, Green Cabbage, Garlic Chives, Onion, Spring Onion, Canola Oil, Smoked Paprika, Chilli Flakes, Rice Vinegar, Brown Sugar, Red Chilli, Sesame Oil, Iodised Salt, Red Onion, Shallot, Corn Starch, Vegetable Oil, White Garlic, Salt, Sugar Syrup, Water, Sugar, Salt, Vegetable Gum (466), Colour (150c), Preservative (202), Natural Maple Flavour, Food Acid (330), Canola Oil, Dried Shiitake Mushrooms		YES	YES	YES	YES	NO	NO	NO	NO	NO	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	NO
Steamed Jasmine Rice	Jasmine Rice		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Fries	Potato, Canola Oil, Modified Starch (1412), Rice Flour, Raising Agents (450, 500), Thickener (415), Pea Protein, Dextrose, Dried Chives, Salt, Canola oil, Egg yolks, Water, Vinegar, Sugar, Salt, Lemon juice concentrate, Natural mustard flavour, Antioxidant (385), Cream, Skim Milk Powder, Thickener (1422), Gelatin, Food Acid (270), Salt, Cultures, Lemon Juice, Onion Powder, Garlic Powder, Black Pepper, Soybeans, Salt, Sugar, Corn Starch, Alcohol, Buttermilk Powder		NO	NO	NO	YES	NO	YES	NO	NO	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	NO	NO
Kimchi Loaded Fries	Potato, Canola Oil, Modified Starch (1412), Rice Flour, Raising Agents (450, 500), Thickener (415), Pea Protein, Dextrose, Spring Onion, Chinese Cabbage, Green Cabbage, Pak Choy, Onion, Himalayan Salt, Water, Spring Onion, Chilli Powder, Garlic, Ginger, Live Cultures (Lactobacillus Plantarum, Pedicoccus Acidilactici, Leuconostoc Cremoris, Inulin), Canola Oil, Canola oil, Egg yolks, Water, Vinegar, Sugar, Salt, Lemon juice concentrate, Natural mustard flavour, Antioxidant (385), Pork Lard		NO	NO	YES	YES	YES	YES	NO	NO	YES	NO	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	NO	NO
Spring onion Pancake	Flour, Water, Sesame Oil, Spring Onion, Iodised Salt, Monosodium Glutomate, Canola Oil		YES	YES	YES	NO	YES	NO	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Matcha Basque Cheesecake	Cream, Milk solids, Salt, Acidity regulator (270), Emulsifiers (450, 452, 451, 339), Thickener (401), Natural flavour, Organic Matcha Powder, Vanilla Bean Extract, Alcohol, Cornflour, Sugar, Eggs, Freeze Dried Raspberry, Sea Salt, Sugar, Nz Milk Powder, Cocoa Butter, Soy Lecithin, Vanilla Flavour, Coconut Milk, Stabilizer (466), Thickener (415), Emulsifier (435)		YES	NO	NO	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	NO	YES
Banana Pudding	Banana, Cream, Salt, Water, Eggs, Flour, Icing Sugar, Cornflour, Baking Soda, Ground Almonds, Glycerine, Alcohol, Natural Almond Flavour, Milk, Vanilla Bean Extract, Alcohol, Water, Soybeans, Rice, Salt, Alcohol, Glucose Syrup, Preservative (223)		YES	NO	NO	NO	NO	YES	YES	YES	YES	YES	YES	YES	NO	YES	NO	NO	YES	YES	YES	NO	YES	YES	YES	NO	YES
Deep Fried Ice Cream Ball	Cream, Liquid Sugar, Reconstituted Skim Milk, Glucose Syrup (from maize), Milk Solids, Stabilisers (Guar Gum, Locust Bean Gum), Emulsifier (471), Vanilla Bean Seeds, Natural Flavour, Salt, Natural Colour (Annatto), Wheat Flour, Yeast, Salt, Palm oil, Glucose, Yeast Food (contains bulking agent E510), Acidity regulator (E516), Wheat Flour, Sugar, Vegetable Fat (Antioxidant 307b), Brown Sugar, Ginger (1%), Raising Agents (Baking Soda), Salt, Natural Flavour, Whey Powder (Milk), Colour (160b), Eggs, Honey, Canola Oil		YES	NO	NO	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES
Coconut sago	Tapioca Starch, Water, Sugar, Coconut Cream, Stabilisers (E415, E412), Pineapple, Green Chilli, Coriander Herb, Brown Sugar, Sea Salt, Mandarin		YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO
